,modelo,otimizador,acuracia,f1,precisao,revocacao,metricas,hiper paramentros
0,dt,Grid Search,58.84,41.44,40.20,46.42,f1 score,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}"
1,dt,Grid Search,58.84,41.44,40.20,46.42,acuracia,"{'criterion': 'gini', 'max_depth': 3, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}"
2,dt,Randomized Search,64.85,51.29,57.15,56.65,f1 score,"{'min_samples_split': 8, 'min_samples_leaf': 10, 'max_leaf_nodes': 80, 'max_depth': 13, 'criterion': 'gini'}"
3,dt,Randomized Search,63.14,47.61,53.50,54.80,acuracia,"{'min_samples_split': 5, 'min_samples_leaf': 6, 'max_leaf_nodes': 47, 'max_depth': 11, 'criterion': 'gini'}"
